iteration,loss,perplexity,param_tokens,total_training_tokens
0,4.480474948883057,88.2765895882931,128,2048
1,4.168984889984131,64.64979213547316,128,4096
2,3.9487009048461914,51.86794165680854,128,6144
3,3.796712636947632,44.55447674393738,128,8192
4,3.6853644847869873,39.85964803784713,128,10240
5,3.6003024578094482,36.60930553968282,128,12288
6,3.5235345363616943,33.90405203711124,128,14336
7,3.457465171813965,31.73642807715811,128,16384
8,3.3945343494415283,29.800773496757422,128,18432
9,3.3399405479431152,28.217449070152412,128,20480
10,3.307609796524048,27.31974761412804,512,22528
11,3.257594108581543,25.9869401156715,512,24576
12,3.2153542041778564,24.91211432357808,512,26624
13,3.1765060424804688,23.96288182412187,512,28672
14,3.1453757286071777,23.22840140879819,512,30720
15,3.1162362098693848,22.561303627547268,512,32768
16,3.092829942703247,22.0393599328388,512,34816
17,3.0773613452911377,21.701065165101973,512,36864
18,3.0606842041015625,21.34215455734288,512,38912
19,3.0418038368225098,20.942986914108467,512,40960
20,3.0172693729400635,20.435413933995612,1024,43008
21,2.993586778640747,19.957136100316895,1024,45056
22,2.9715020656585693,19.521219738936217,1024,47104
23,2.9452359676361084,19.015148816838,1024,49152
24,2.9243133068084717,18.621434446197377,1024,51200
25,2.8922500610351562,18.033841228595413,1024,53248
26,2.867427349090576,17.591702624497586,1024,55296
27,2.8449201583862305,17.200185323547746,1024,57344
28,2.8228039741516113,16.823958541529485,1024,59392
29,2.8082001209259033,16.580049262880134,1024,61440
30,2.7883918285369873,16.254858172185823,2048,63488
31,2.770768404006958,15.97090140066528,2048,65536
32,2.7472734451293945,15.60003948168285,2048,67584
33,2.729353427886963,15.322976407055988,2048,69632
34,2.7151761054992676,15.107270311027849,2048,71680
35,2.699944496154785,14.878905865465736,2048,73728
36,2.6849677562713623,14.657728752814757,2048,75776
37,2.672609806060791,14.477703930675814,2048,77824
38,2.6603684425354004,14.301557430159042,2048,79872
39,2.651226758956909,14.171412893889018,2048,81920
40,2.6430797576904297,14.056427404557956,5096,83968
41,2.632444143295288,13.907720857414978,5096,86016
42,2.6205174922943115,13.742833555708833,5096,88064
43,2.6136205196380615,13.648375719445045,5096,90112
44,2.6043877601623535,13.522943483053803,5096,92160
45,2.597285747528076,13.42724360071813,5096,94208
46,2.588329792022705,13.307526694311923,5096,96256
47,2.5869486331939697,13.28915957320494,5096,98304
48,2.577199697494507,13.16023387629911,5096,100352
49,2.5726065635681152,13.099925767239547,5096,102400
