Config,n_layer,n_embd,Max_iters,ParameterCount,FinalLoss,FinalPerplexity,TrainingTime
Config1: ,4,144,3000,1042061,0.7420938014984131,2.100328584918972,121.21512699127197
Config2: ,5,160,3000,1589517,0.607795000076294,1.836377718512504,153.3526587486267
Config3: ,6,176,3000,2290893,0.47860226035118103,1.613817128833242,190.37258672714233
Config4: ,7,256,3000,5595725,0.28770267963409424,1.3333608098595238,285.31452655792236
Config5: ,8,384,3000,14295629,0.8457636833190918,2.3297563314198255,539.8270120620728
